"BARRIO","COMUNA","NUM_ACCIDENTES","HERIDOS","ATROPELLOS","RIESGO_NUMERICO","RIESGO"
"Suburbano Travesias","Corregimiento de San Cristóbal",79,62,18,2,"Bajo"
"Aldea Pablo VI","Popular",83,64,27,2,"Bajo"
"Villa Liliam","Villa Hermosa",113,93,37,2,"Bajo"
"El Corazon El Morro ","Corregimiento de Altavista",15,15,8,2,"Bajo"
"Belencito","San Javier",159,114,23,2,"Bajo"
"El Triunfo","Doce de Octubre",49,41,12,2,"Bajo"
"San Lucas","El Poblado",188,47,9,2,"Bajo"
"Plaza de Ferias","Castilla",129,78,13,2,"Bajo"
"Juan XXIII La Quiebra","San Javier",161,110,36,2,"Bajo"
"Aguas Frias","Corregimiento de Altavista",85,63,16,2,"Bajo"
"Hospital San Vicente de Paúl","La Candelaria",135,64,15,2,"Bajo"
"Santo Domingo Savio No. 2","Popular",175,136,71,2,"Bajo"
"Lalinde","El Poblado",150,55,3,2,"Bajo"
"Versalles No. 2","Manrique",54,33,16,2,"Bajo"
"Media Luna","Corregimiento de Santa Elena",48,39,3,2,"Bajo"
"Santa Rosa de Lima","San Javier",26,19,4,2,"Bajo"
"Ocho de Marzo","Buenos Aires",48,31,9,2,"Bajo"
"Blanquizal","San Javier",88,62,16,2,"Bajo"
"Santa Margarita","Robledo",216,161,18,2,"Bajo"
"Suburbano La Loma","Corregimiento de San Cristóbal",234,149,27,2,"Bajo"
"Suburbano Altavista","Corregimiento de Altavista",87,65,13,2,"Bajo"
"Berlín","Aranjuez",19,16,4,2,"Bajo"
"Nueva Villa de Aburrá","Belén",173,88,15,2,"Bajo"
"Campo Valdés No.2","Manrique",74,59,17,2,"Bajo"
"Monteclaro","Robledo",98,75,11,2,"Bajo"
"La Florida","Corregimiento de San Antonio de Prado",849,6,0,1,"Medio"
"Eduardo Santos","San Javier",42,30,4,2,"Bajo"
"El Socorro","San Javier",65,49,21,2,"Bajo"
"Suburbano Mirador del Poblado","Corregimiento de Santa Elena",60,31,0,2,"Bajo"
"La Cruz","Manrique",97,71,33,2,"Bajo"
"Villa Lilliam","Villa Hermosa",7,6,2,2,"Bajo"
"María Cano Carambolas","Manrique",63,50,31,2,"Bajo"
"San Antonio","Villa Hermosa",23,18,4,2,"Bajo"
"Manrique Central No.1","Aranjuez",30,19,1,2,"Bajo"
"La Loma de Los Bernal","Belén",32,11,1,2,"Bajo"
"Suburbano Pedregal alto","Corregimiento de San Cristóbal",23,22,1,2,"Bajo"
"Miravalle","Belén",83,42,10,2,"Bajo"
"Versalles No.1","Manrique",11,4,2,2,"Bajo"
"San José la Cima No. 1","Manrique",36,28,11,2,"Bajo"
"U.P.B.","Laureles Estadio",128,47,6,2,"Bajo"
"Suburbano Palma Patio","Corregimiento de San Cristóbal",24,15,1,2,"Bajo"
"Yolombo","Corregimiento de San Cristóbal",17,9,1,2,"Bajo"
"Santa Elena Sector Central","Corregimiento de Santa Elena",5,2,0,2,"Bajo"
"Metropolitano","San Javier",39,28,6,2,"Bajo"
"Manrique Central No.2","Manrique",26,17,3,2,"Bajo"
"La Verde ","Corregimiento de San Antonio de Prado",41,21,2,2,"Bajo"
"Area De Expansion Belen Rincon","Corregimiento de Altavista",11,7,1,2,"Bajo"
"La Sierra","Villa Hermosa",17,15,2,2,"Bajo"
"Fuente Clara","Robledo",100,82,12,2,"Bajo"
"La Esperanza","Corregimiento de Altavista",676,3,0,2,"Bajo"
"La Loma Oriental","Corregimiento de San Cristóbal",25,19,1,2,"Bajo"
"Potrerito","Corregimiento de San Antonio de Prado",5,4,1,2,"Bajo"
"Aures No.2","Robledo",7,5,0,2,"Bajo"
"Asomadera No.1","Buenos Aires",1,0,0,2,"Bajo"
"La Oculta","Corregimiento de San Antonio de Prado",13,9,3,2,"Bajo"
"Moscú No.2","Popular",10,8,4,2,"Bajo"
"Suburbano Palmitas","Corregimiento de San Sebastián de Palmitas",10,3,1,2,"Bajo"
"El Vergel","Corregimiento de San Antonio de Prado",3,2,0,2,"Bajo"
"Suburbano El Llano","Corregimiento de Santa Elena",21,3,0,2,"Bajo"
"Piedras Blancas - Matasano","Corregimiento de Santa Elena",1,1,0,2,"Bajo"
"Moscú No.1","Santa Cruz",1,0,0,2,"Bajo"
"Versalles No.2","Manrique",3,1,1,2,"Bajo"
"Batallón Girardot","Villa Hermosa",11,9,6,2,"Bajo"
"Suburbano Chacaltaya","Corregimiento de Santa Elena",7,2,0,2,"Bajo"
"B. Cerro El Volador","Robledo",1,0,0,2,"Bajo"
"Inst","Guayabal",19,0,0,2,"Bajo"
"Travesías","Corregimiento de San Cristóbal",1,0,0,2,"Bajo"
"AUC1","Corregimiento de San Cristóbal",1,1,0,2,"Bajo"
"Piedra Gorda","Corregimiento de Santa Elena",1,0,0,2,"Bajo"
"Inst","Laureles Estadio",19,5,0,2,"Bajo"
